# Moment         
# CofR           : ( 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 )
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1                	( -9.5052887899e-01 2.8000018919e+00 2.0866620940e+00 )	( -9.4842714006e-01 2.8054739417e+00 2.0766657432e+00 )	( -2.1017389328e-03 -5.4720497498e-03 9.9963507490e-03 )
2                	( -4.2968077633e-01 1.4612508344e+00 1.0674620918e+00 )	( -4.2787356047e-01 1.4661213588e+00 1.0587612072e+00 )	( -1.8072158677e-03 -4.8705243541e-03 8.7008846143e-03 )
3                	( 7.6165196309e-02 1.4208551185e-01 3.8349940402e-02 )	( 7.7984203257e-02 1.4723124393e-01 2.9387519567e-02 )	( -1.8190069477e-03 -5.1457320775e-03 8.9624208350e-03 )
4                	( 2.4667950931e-01 -3.2241400492e-01 -3.5182670785e-01 )	( 2.4821696338e-01 -3.1776380126e-01 -3.5969993342e-01 )	( -1.5374540709e-03 -4.6502036602e-03 7.8732255664e-03 )
5                	( 1.4371450888e-01 -1.1301214573e-01 -1.9880329637e-01 )	( 1.4505758129e-01 -1.0891834783e-01 -2.0577496349e-01 )	( -1.3430724147e-03 -4.0937979002e-03 6.9716671223e-03 )
6                	( -2.0226940442e-02 2.4875019938e-01 9.5346514228e-02 )	( -1.8989754305e-02 2.5229949029e-01 8.9044082443e-02 )	( -1.2371861375e-03 -3.5492909130e-03 6.3024317850e-03 )
7                	( -1.1272693105e-01 4.5995365433e-01 2.7533484850e-01 )	( -1.1153528083e-01 4.6316383104e-01 2.6940679980e-01 )	( -1.1916502217e-03 -3.2101767085e-03 5.9280486976e-03 )
8                	( -1.1550841434e-01 4.7846296417e-01 2.9512628403e-01 )	( -1.1434295365e-01 4.8150359637e-01 2.8941118179e-01 )	( -1.1654606907e-03 -3.0406322046e-03 5.7151022388e-03 )
9                	( -7.5591989205e-02 4.0679068337e-01 2.3189976973e-01 )	( -7.4456941685e-02 4.0971137469e-01 2.2636560276e-01 )	( -1.1350475190e-03 -2.9206913137e-03 5.5341669765e-03 )
10               	( -4.2091150547e-02 3.4712857486e-01 1.7255588647e-01 )	( -4.1003605535e-02 3.4989986920e-01 1.6725003013e-01 )	( -1.0875450115e-03 -2.7712943414e-03 5.3058563451e-03 )
